"","municipio_regiao"
"201","Mandirituba/RGI de Curitiba"
"202","Manfrinópolis/RGI de Francisco Beltrão"
"203","Mangueirinha/RGI de Pato Branco"
"204","Manoel Ribas/RGI de Ivaiporã"
"205","Marechal Cândido Rondon/RGI de Marechal Cândido Rondon"
"206","Maria Helena/RGI de Umuarama"
"207","Marialva/RGI de Maringá"
"208","Marilândia do Sul/RGI de Apucarana"
"209","Marilena/RGI de Paranavaí"
"210","Mariluz/RGI de Umuarama"
"211","Maringá/RGI de Maringá"
"212","Mariópolis/RGI de Pato Branco"
"213","Maripá/RGI de Toledo"
"214","Marmeleiro/RGI de Francisco Beltrão"
"215","Marquinho/RGI de Laranjeiras do Sul - Quedas do Iguaçu"
"216","Marumbi/RGI de Apucarana"
"217","Matelândia/RGI de Cascavel"
"218","Matinhos/RGI de Paranaguá"
"219","Mato Rico/RGI de Pitanga"
"220","Mauá da Serra/RGI de Apucarana"
"221","Medianeira/RGI de Foz do Iguaçu"
"222","Mercedes/RGI de Marechal Cândido Rondon"
"223","Mirador/RGI de Paranavaí"
"224","Miraselva/RGI de Londrina"
"225","Missal/RGI de Foz do Iguaçu"
"226","Moreira Sales/RGI de Campo Mourão"
"227","Morretes/RGI de Paranaguá"
"228","Munhoz de Melo/RGI de Maringá"
"229","Nossa Senhora das Graças/RGI de Paranacity - Colorado"
"230","Nova Aliança do Ivaí/RGI de Paranavaí"
"231","Nova América da Colina/RGI de Cornélio Procópio - Bandeirantes"
"232","Nova Aurora/RGI de Cascavel"
"233","Nova Cantu/RGI de Campo Mourão"
"234","Nova Esperança/RGI de Maringá"
"235","Nova Esperança do Sudoeste/RGI de Francisco Beltrão"
"236","Nova Fátima/RGI de Cornélio Procópio - Bandeirantes"
"237","Nova Laranjeiras/RGI de Laranjeiras do Sul - Quedas do Iguaçu"
"238","Nova Londrina/RGI de Paranavaí"
"239","Nova Olímpia/RGI de Umuarama"
"240","Nova Prata do Iguaçu/RGI de Dois Vizinhos"
"241","Nova Santa Bárbara/RGI de Cornélio Procópio - Bandeirantes"
"242","Nova Santa Rosa/RGI de Marechal Cândido Rondon"
"243","Nova Tebas/RGI de Pitanga"
"244","Novo Itacolomi/RGI de Apucarana"
"245","Ortigueira/RGI de Telêmaco Borba"
"246","Ourizona/RGI de Maringá"
"247","Ouro Verde do Oeste/RGI de Toledo"
"248","Paiçandu/RGI de Maringá"
"249","Palmas/RGI de Pato Branco"
"250","Palmeira/RGI de Ponta Grossa"
"251","Palmital/RGI de Pitanga"
"252","Palotina/RGI de Toledo"
"253","Paraíso do Norte/RGI de Paranavaí"
"254","Paranacity/RGI de Paranacity - Colorado"
"255","Paranaguá/RGI de Paranaguá"
"256","Paranapoema/RGI de Paranacity - Colorado"
"257","Paranavaí/RGI de Paranavaí"
"258","Pato Bragado/RGI de Marechal Cândido Rondon"
"259","Pato Branco/RGI de Pato Branco"
"260","Paula Freitas/RGI de União da Vitória"
"261","Paulo Frontin/RGI de União da Vitória"
"262","Peabiru/RGI de Campo Mourão"
"263","Perobal/RGI de Umuarama"
"264","Pérola/RGI de Umuarama"
"265","Pérola d'Oeste/RGI de Francisco Beltrão"
"266","Piên/RGI de Curitiba"
"267","Pinhais/RGI de Curitiba"
"268","Pinhal de São Bento/RGI de Francisco Beltrão"
"269","Pinhalão/RGI de Ibaiti"
"270","Pinhão/RGI de Guarapuava"
"271","Piraí do Sul/RGI de Ponta Grossa"
"272","Piraquara/RGI de Curitiba"
"273","Pitanga/RGI de Pitanga"
"274","Pitangueiras/RGI de Londrina"
"275","Planaltina do Paraná/RGI de Paranavaí"
"276","Planalto/RGI de Francisco Beltrão"
"277","Ponta Grossa/RGI de Ponta Grossa"
"278","Pontal do Paraná/RGI de Paranaguá"
"279","Porecatu/RGI de Londrina"
"280","Porto Amazonas/RGI de Ponta Grossa"
"281","Porto Barreiro/RGI de Laranjeiras do Sul - Quedas do Iguaçu"
"282","Porto Rico/RGI de Loanda"
"283","Porto Vitória/RGI de União da Vitória"
